ID_GRUP;DESC_DATUM;DESC_DASPA;DESC_DAENG;ID_ELLIP
Adindan;Adindan (Burkina Faso, Camerun, Etiòpia, Mali, Senegal, Sudan);Adindan (Burkina Faso, Camerún, Etiopía, Malí, Senegal, Sudán);Adindan (Burkina Faso, Cameroon, Ethiopia, Mali, Senegal, Sudan);Clarke 1880
Afgooye;Afgooye (Somàlia);Afgooye (Somalia);Afgooye (Somalia);Krassovsky 1940
Ain el Abd 1970;Ain el Abd (Bahrain i Aràbia Saudita) 1970;Ain el Abd (Bahréin y Arabia Saudita) 1970;Ain el Abd (Bahrain and Saudi Arabia) 1970;International 1924
American Samoa 1962;Samoa Americana 1962;Samoa Americana 1962;American Samoa 1962;Clarke 1866
Anna 1 Astro 1965;Illes Cocos, Anna 1, Astro 1965;Islas Cocos, Anna 1, Astro 1965;Cocos Islands, Anna 1, Astro 1965;Australian National
Antigua Island Astro 1943;Illa Antigua, Astro 1943;Isla Antigua, Astro 1943;Antigua Island, Astro 1943;Clarke 1880
Arc 1950;Arc (Botswana, Burundi, Lesotho, Malawi, Swazilàndia, Zaire, Zàmbia, Zimbabwe) 1950;Arc (Botsuana, Burundi, Lesotho, Malawi, Swazilandia, Zaire, Zambia, Zimbabwe) 1950;Arc (Botswana, Burundi, Lesotho, Malawi, Swaziland, Zaire, Zambia, Zimbabwe) 1950;Clarke 1880
Ascension Island 1958;Illa de l'Ascensió 1958;Isla de la Ascensión 1958;Ascension Island 1958;International 1924
Astro Beacon E 1945;Iwo Jima, Astro Balisa E 1945;Iwo Jima, Astro Baliza E 1945;Iwo Jima, Astro Beacon E 1945;International 1924
Astro DOS 71/4;Illa de Santa Helena, Directorate of Overseas Surveys (DOS), Astro 71/4;Isla de Santa Helena, Directora de Overseas Surveys (DOS), Astro 71/4;St Helena Island, Directorate of Overseas Surveys (DOS), Astro 71/4;International 1924
Astro Tern Island (FRIG) 1961;Illa de Tern (estació FRIG) (Hawaii), Astro 1961;Isla de Tern (estación FRIG) (Hawaii), Astro 1961;Tern Island (FRIG station), Astro 1961;International 1924
Astronomical Station 1952;Estació Astronòmica de l'Illa Marcus (Japó) 1952;Estación Astronómica de la Isla Marcus (Japón) 1952;Astronomical Station of Marcus Island (Japan) 1952;International 1924
AGD66;Dàtum Geodèsic Australià 1966;Dátum Geodésico Australiano 1966;Australian Geodetic Datum 1966;Australian National
AGD84;Dàtum Geodèsic Australià 1984;Dátum Geodésico Australiano 1984;Australian Geodetic Datum 1984;Australian National
