ID_ELLIP;DESC_ELLIP;DESC_ELSPA;DESC_ELENG;SMAJORAXIS;RECFLATT;SRC
Airy 1830;Airy 1830;Airy 1830;Airy 1830;6377563.396000;299.3249646000;DMA 1987 TR WGS84
Australian National;Nacional d'Austràlia;Nacional de Australia;Australian National;6378160.000000;298.2500000000;DMA 1987 TR WGS84
Bessel 1841;Bessel 1841;Bessel 1841;Bessel 1841;6377397.155000;299.1528128000;DMA 1987 TR WGS84
Bessel 1841 (Namibia);Bessel 1841 (Namíbia);Bessel 1841 (Namibia);Bessel 1841 (Namibia);6377483.865000;299.1528128000;DMA 1987 TR WGS84
Clarke 1866;Clarke 1866;Clarke 1866;Clarke 1866;6378206.400000;294.9786982000;DMA 1987 TR WGS84
Clarke 1880;Clarke 1880 (RGS);Clarke 1880 (RGS);Clarke 1880 (RGS);6378249.145000;293.4650000000;DMA 1987 TR WGS84
Clarke 1880 Arc;Clarke 1880 (Arc);Clarke 1880 (Arc);Clarke 1880 (Arc);6378249.145000;293.4663077000;https://epsg.io/7013-ellipsoid
Everest (India 1830);Everest (Índia 1830);Everest (India 1830);Everest (India 1830);6377276.345000;300.8017000000;DMA 1987 TR WGS84
Everest (India 1956);Everest (Índia 1956);Everest (India 1956);Everest (India 1956);6377301.243000;300.8017000000;NIMA&MADTRAN
Everest (Malay. & Sing);Everest (Malàisia Oest i Singapur);Everest (Malasia Oeste y Singapur);Everest (West Malaysia & Singapore);6377304.063000;300.8017000000;NIMA&MADTRAN
Everest (Malaysia 1969);Everest (Malàisia 1969);Everest (Malasia 1969);Everest (Malaysia 1969);6377295.664000;300.8017000000;NIMA&MADTRAN
Everest (Pakistan);Everest (Pakistan);Everest (Pakistán);Everest (Pakistan);6377309.613000;300.8017000000;NIMA&MADTRAN
Everest (Sabah Sarawak);Everest (Sabah i Sarawak);Everest (Sabah y Sarawak);Everest (Sabah and Sarawak);6377298.556000;300.8017000000;NIMA&MADTRAN
Fischer 1960 (Mercury);Fischer 1960 (Programa Mercury);Fischer 1960 (Programa Mercury);Fischer 1960 (Project Mercury);6378166.000000;298.3000000000;DMA 1987 TR WGS84
Fischer 1968;Fischer 1968;Fischer 1968;Fischer 1968;6378150.000000;298.3000000000;DMA 1987 TR WGS84
GRS 1967;GRS 1967;GRS 1967;GRS 1967;6378160.000000;298.2471674270;DMA 1987 TR WGS84
GRS 1980;GRS 1980;GRS 1980;GRS 1980;6378137.000000;298.2572221010;DMA 1987 TR WGS84
Helmert 1906;Helmert 1906;Helmert 1906;Helmert 1906;6378200.000000;298.3000000000;DMA 1987 TR WGS84
Hough 1960;Hough 1960;Hough 1960;Hough 1960;6378270.000000;297.0000000000;NIMA&MADTRAN
Indonesian 1974;Indonesi 1974;Indonesio 1974;Indonesian 1974;6378160.000000;298.2470000000;NIMA&MADTRAN
International 1924;Internacional 1924 o Hayford 1909;Internacional 1924 o Hayford 1909;International 1924 or Hayford 1909;6378388.000000;297.0000000000;NIMA&MADTRAN
International 1924 - Esfera radi major;Esfera amb radi igual a l'eix major de l'el·lipsoide Internacional 1924, o Hayford 1909 (6378388.0);Esfera con radio igual al eje mayor del elipsoide Internacional 1924, o Hayford 1909 (6378388.0);Sphere with radius equal to the major axis of the International 1924, or Hayford 1909, ellipsoid (6378388.0);6378388.000000;;ETC-TE
Krassovsky 1940;Krassovsky 1940;Krassovsky 1940;Krassovsky 1940;6378245.000000;298.3000000000;NIMA&MADTRAN
Modified Airy;Airy modificat;Airy modificado;Modified Airy;6377340.189000;299.3249646000;DMA 1987 TR WGS84
Modified Fischer 1960;Fischer 1960 modificat;Fischer 1960 modificado;Modified Fischer 1960;6378155.000000;298.3000000000;DMA 1987 TR WGS84
MODIS_v5_Sphere;Esfera normal de radi 6371007.181, utilitzada en molts productes MODIS;Esfera normal de radio 6371007.181, utilizada en muchos productos MODIS;Normal Sphere of radius 6371007.181, used in many MODIS products;6371007.181000;;NASA
Normal Sphere;Esfera normal de radi 6370997;Esfera normal de radio 6370997;Normal Sphere of radius 6370997;6370997.000000;;
Normalized Geostationary;Geoestacionari normalitzat;Geoestacionario normalizado;Normalized Geostationary;6378169.000000;295.4806590000;CGMS EUMETSAT
Popular Visualisation Sphere;Esfera de visualització popular per a Web Mercator;Esfera de visualización popular para Web Mercator;Popular Visualisation Sphere for Web Mercator;6378137.000000;;EPSG
South American 1969;Sud-amèrica 1969;Sudamérica 1969;South American 1969;6378160.000000;298.2500000000;DMA 1987 TR WGS84
Struve 1860;Struve 1860;Struve 1860;Struve 1860;6378298.300000;294.7300000000;PE&RS
WGS 1960;WGS 1960;WGS 1960;WGS 1960;6378165.000000;298.3000000000;DMA 1987 TR WGS84
WGS 1966;WGS 1966;WGS 1966;WGS 1966;6378145.000000;298.2500000000;DMA 1987 TR WGS84
WGS 1972;WGS 1972;WGS 1972;WGS 1972;6378135.000000;298.2600000000;DMA 1987 TR WGS84
WGS 1984;WGS 1984;WGS 1984;WGS 1984;6378137.000000;298.2572235630;DMA 1987 TR WGS84
