ID_GEODES;ID_GEOGRUP;DESCGEODES;DESCGEOSPA;DESCGEOENG;NOMESORTID;ID_PRJ;ID_VALPRJ;UNITATS;ID_DATUM;ID_ELL_ALT
UTM-6N-WGS84;UTM-6N-WGS84;UTM fus 6 hemisferi Nord amb dàtum WGS84;UTM huso 6 hemisferio Norte con dátum WGS84;UTM zone 6 Northern Hemisphere with WGS84 datum;F;UTM;6N;m;WGS 1984;
UTM-10N-WGS84;UTM-10N-WGS84;UTM fus 10 hemisferi Nord amb dàtum WGS84;UTM huso 10 hemisferio Norte con dátum WGS84;UTM zone 10 Northern Hemisphere with WGS84 datum;F;UTM;10N;m;WGS 1984;
UTM-10N-NAD27-CW;UTM-10N-NAD27;UTM fus 10 hemisferi Nord amb dàtum Amèrica del Nord 1927 (paràmetres MADTRAN Oest dels EEUU contigus);UTM huso 10 hemisferio Norte con dátum América del Norte 1927 (parámetros MADTRAN Oeste de los EEUU contiguos);UTM zone 10 Northern Hemisphere with North American datum 1927 (MADTRAN West ConUS parameters);F;UTM;10N;m;North American 1927 CW;
UTM-11N-NAD27-CW;UTM-11N-NAD27;UTM fus 11 hemisferi Nord amb dàtum Amèrica del Nord 1927 (paràmetres MADTRAN Oest dels EEUU contigus);UTM huso 11 hemisferio Norte con dátum América del Norte 1927 (parámetros MADTRAN Oeste de los EEUU contiguos);UTM zone 11 Northern Hemisphere with North American datum 1927 (MADTRAN West ConUS parameters);F;UTM;11N;m;North American 1927 CW;
UTM-12N-NAD83;UTM-12N-NAD83;UTM fus 12 hemisferi Nord amb dàtum Amèrica del Nord 1983 (paràmetres MADTRAN EEUU contigus);UTM huso 12 hemisferio Norte con dátum América del Norte 1983 (parámetros MADTRAN EEUU contiguos);UTM zone 12 Northern Hemisphere with North American datum 1983 (MADTRAN ConUS parameters);F;UTM;12N;m;North American 1983 CO;
UTM-13N-ITRF92;UTM-13N-ITRF92;UTM fus 13 hemisferi Nord amb dàtum ITRF92;UTM huso 13 hemisferio Norte con dátum ITRF92;UTM zone 13 Northern Hemisphere with ITRF92 datum;F;UTM;13N;m;ITRF92;
UTM-14N-ITRF92;UTM-14N-ITRF92;UTM fus 14 hemisferi Nord amb dàtum ITRF92;UTM huso 14 hemisferio Norte con dátum ITRF92;UTM zone 14 Northern Hemisphere with ITRF92 datum;F;UTM;14N;m;ITRF92;
UTM-15N-ITRF92;UTM-15N-ITRF92;UTM fus 15 hemisferi Nord amb dàtum ITRF92;UTM huso 15 hemisferio Norte con dátum ITRF92;UTM zone 15 Northern Hemisphere with ITRF92 datum;F;UTM;15N;m;ITRF92;
UTM-13N-NAD27-MX;UTM-13N-NAD27;UTM fus 13 hemisferi Nord amb dàtum Amèrica del Nord 1927 (paràmetres MADTRAN Mèxic);UTM huso 13 hemisferio Norte con dátum América del Norte 1927 (parámetros MADTRAN México);UTM zone 13 Northern Hemisphere with North American datum 1927 (MADTRAN Mexico parameters);F;UTM;13N;m;North American 1927 MX;
UTM-14N-NAD27-MX;UTM-14N-NAD27;UTM fus 14 hemisferi Nord amb dàtum Amèrica del Nord 1927 (paràmetres MADTRAN Mèxic);UTM huso 14 hemisferio Norte con dátum América del Norte 1927 (parámetros MADTRAN México);UTM zone 14 Northern hemisphere with North American datum 1927 (MADTRAN Mexico parameters);F;UTM;14N;m;North American 1927 MX;
UTM-15N-NAD27-MX;UTM-15N-NAD27;UTM fus 15 hemisferi Nord amb dàtum Amèrica del Nord 1927 (paràmetres MADTRAN Mèxic);UTM huso 15 hemisferio Norte con dátum América del Norte 1927 (parámetros MADTRAN México);UTM zone 15 Northern Hemisphere with North American datum 1927 (MADTRAN Mexico parameters);F;UTM;15N;m;North American 1927 MX;
UTM-15N-NAD83;UTM-15N-NAD83;UTM fus 15 hemisferi Nord amb dàtum Amèrica del Nord 1983 (paràmetres MADTRAN EEUU contigus);UTM huso 15 hemisferio Norte con dátum América del Norte 1983 (parámetros MADTRAN EEUU contiguos);UTM zone 15 Northern hemisphere with North American datum 1983 (MADTRAN ConUS parameters);F;UTM;15N;m;North American 1983 CO;
