ID_PRJ;ID_PARPRJ;DESCPARPRJ;DESCPARSPA;DESCPARENG;VALOR_DEF;POSSIBILIT;UNITATS;N_ISO19115
Albers_Equal_Area_Conic;lambda_0;Longitud origen;Longitud origen;Longitude of the origin;0.0;-180,180;deg;longitudeOfCentralMeridian
Albers_Equal_Area_Conic;fi_0;Latitud de referència;Latitud de referencia;Reference latitude;0.0;-90,90;deg;latitudeOfProjectionOrigin
Albers_Equal_Area_Conic;fi_1;Paral·lel automecoic 1;Paralelo automecoico 1;Standard parallel 1;33.0;-90,90;deg;standardParallel
Albers_Equal_Area_Conic;fi_2;Paral·lel automecoic 2;Paralelo automecoico 2;Standard parallel 2;45.0;-90,90;deg;standardParallel
Albers_Equal_Area_Conic;fals_est;Fals est;Falso este;False easting;0.0;;m;falseEasting
Albers_Equal_Area_Conic;fals_nord;Fals nord;Falso norte;False northing;0.0;;m;falseNorthing
Azimuthal_Equidistant;lambda_0;Longitud del meridià cap avall/amunt des del pol N/S;Longitud del meridiano hacia abajo/arriba desde el Polo N/S;Longitude of the meridian extending down/up from the N/S Pole;0.0;-180,180;deg;longitudeOfProjectionCenter
Azimuthal_Equidistant;fi_1;Latitud del punt central;Latitud del punto central;Latitude of central point;90.0;-90,90;deg;latitudeOfProjectionCenter
Azimuthal_Equidistant;fals_est;Fals est;Falso este;False easting;0.0;;m;falseEasting
Azimuthal_Equidistant;fals_nord;Fals nord;Falso norte;False northing;0.0;;m;falseNorthing
Lambert_Azimuthal_Equal_Area;lambda_0;Longitud del meridià cap avall/amunt des del pol N/S;Longitud del meridiano hacia abajo/arriba desde el Polo N/S;Longitude of the meridian extending down/up from the N/S Pole;0.0;-180,180;deg;longitudeOfProjectionCenter
Lambert_Azimuthal_Equal_Area;fi_1;Latitud del punt central;Latitud del punto central;Latitude of central point;90.0;-90,90;deg;latitudeOfProjectionCenter
Lambert_Azimuthal_Equal_Area;fals_est;Fals est;Falso este;False easting;0.0;;m;falseEasting
Lambert_Azimuthal_Equal_Area;fals_nord;Fals nord;Falso norte;False northing;0.0;;m;falseNorthing
Cylindrical_Equal_Area;lambda_0;Longitud origen;Longitud origen;Longitude of the origin;0.0;-180,180;deg;longitudeOfCentralMeridian
Cylindrical_Equal_Area;fi_1;Paral·lel estàndard;Paralelo estándar;Standard parallel;0.0;-89.9,89.9;deg;standardParallel
Cylindrical_Equal_Area;fals_est;Fals est;Falso este;False easting;0.0;;m;falseEasting
Cylindrical_Equal_Area;fals_nord;Fals nord;Falso norte;False northing;0.0;;m;falseNorthing
Lambert_Conformal_Conic;lambda_0;Longitud origen;Longitud origen;Longitude of the origin;0.0;-180,180;deg;longitudeOfCentralMeridian
Lambert_Conformal_Conic;fi_0;Latitud de referència;Latitud de referencia;Reference latitude;0.0;-90,90;deg;latitudeOfProjectionOrigin
Lambert_Conformal_Conic;fi_1;Paral·lel automecoic 1;Paralelo automecoico 1;Standard parallel 1;33.0;-90,90;deg;standardParallel
Lambert_Conformal_Conic;fi_2;Paral·lel automecoic 2;Paralelo automecoico 2;Standard parallel 2;45.0;-90,90;deg;standardParallel
Lambert_Conformal_Conic;fals_est;Fals est;Falso este;False easting;0.0;;m;falseEasting
Lambert_Conformal_Conic;fals_nord;Fals nord;Falso norte;False northing;0.0;;m;falseNorthing
Goode_Homolosine;interrup;És interrompuda;Es interrumpida;It is interrupted;1;0 1;;Interrupted
Mercator;lambda_0;Longitud origen;Longitud origen;Longitude of the origin;0.0;-180,180;deg;longitudeOfCentralMeridian
Mercator;fi_1;Paral·lel estàndard;Paralelo estándar;Standard parallel;0.0;0,90;deg;standardParallel
Mercator;fals_est;Fals est;Falso este;False easting;0.0;;m;falseEasting
Mercator;fals_nord;Fals nord;Falso norte;False northing;0.0;;m;falseNorthing
Sinusoidal;lambda_0;Longitud origen;Longitud origen;Longitude of the origin;0.0;-180,180;deg;longitudeOfCentralMeridian
UTM;zone;Fus;Huso;Zone;31;1,60;;zoneNumber
UTM;hemisphere;Hemisferi;Hemisferio;Hemisphere;N;N S;;
UTM;c_tissot;Constant de Tissot;Constante de Tissot;Tissot Indicatrix;0.9996;(0,1];;scaleFactorAtCenterLine
Cylindrical_Equidistant;lambda_0;Longitud origen;Longitud origen;Longitude of the origin;0.0;-180,180;deg;longitudeOfCentralMeridian
Cylindrical_Equidistant;fi_1;Paral·lel estàndard;Paral·lel estàndard;Standard parallel;0.0;-90,90;deg;standardParallel
Transverse_Mercator;lambda_0;Longitud origen;Longitud origen;Longitude of the origin;0.0;-180,180;deg;longitudeOfCentralMeridian
Transverse_Mercator;fi_0;Latitud de referència;Latitud de referencia;Reference latitude;0.0;-90,90;deg;latitudeOfProjectionOrigin
Transverse_Mercator;c_tissot;Constant de Tissot;Constante de Tissot;Tissot Indicatrix;1;(0,1];;scaleFactorAtCenterLine
Transverse_Mercator;fals_est;Fals est;Falso este;False easting;0.0;;m;falseEasting
Transverse_Mercator;fals_nord;Fals nord;Falso norte;False northing;0.0;;m;falseNorthing
Oblique_Mercator;fi_0;Latitud de referència;Latitud de referencia;Reference latitude;0.0;-90,90;deg;latitudeOfProjectionOrigin
Oblique_Mercator;lambda_c;Longitud central;Longitud central;Central Longitude;0.0;-180,180;deg;obliqueLineLongitude
Oblique_Mercator;azimuth_c;Azimut central;Azimut central;Azimuth of axis;0.0;0,90;deg;obliqueLineLatitude
Oblique_Mercator;k_0;Escalat;Escalado;Scale factor;1;(0,1];;scaleFactorAtCenterLine
Oblique_Mercator;fals_est;Fals est;Falso este;False easting;0.0;;m;falseEasting
Oblique_Mercator;fals_nord;Fals nord;Falso norte;False northing;0.0;;m;falseNorthing
Geostationary;lambda_0;Longitud origen;Longitud origen;Longitude of the origin;0.0;-180,180;deg;longitudeOfCentralMeridian
Conic_Equidistant;lambda_0;Longitud origen;Longitud origen;Longitude of the origin;0.0;-180,180;deg;longitudeOfCentralMeridian
Conic_Equidistant;fi_0;Latitud de referència;Latitud de referencia;Reference latitude;0.0;-90,90;deg;latitudeOfProjectionOrigin
Conic_Equidistant;fi_1;Paral·lel automecoic 1;Paralelo automecoico 1;Standard parallel 1;33.0;-90,90;deg;standardParallel
Conic_Equidistant;fi_2;Paral·lel automecoic 2;Paralelo automecoico 2;Standard parallel 2;45.0;-90,90;deg;standardParallel
Conic_Equidistant;fals_est;Fals est;Falso este;False easting;0.0;;m;falseEasting
Conic_Equidistant;fals_nord;Fals nord;Falso norte;False northing;0.0;;m;falseNorthing
