ID_PRJ;DESC_PRJ;DESC_PRSPA;DESC_PRENG;UNITATS;CONFORME;EQUIVALENT;EQUIDISTAN;ESFERICA;ELLIPSDAL
Albers_Equal_Area_Conic;Cònica Equivalent d'Albers;Cónica Equivalente de Albers;Albers Equal-Area Conic;m;0;3;0;T;T
Azimuthal_Equidistant;Azimutal Equidistant;Azimutal Equidistante;Azimuthal Equidistant;m;0;0;1;T;F
Lambert_Azimuthal_Equal_Area;Azimutal Equivalent de Lambert;Azimutal Equivalente de Lambert;Lambert Azimuthal Equal-Area;m;0;3;0;T;T
Cylindrical_Equal_Area;Cilíndrica Equivalent;Cilíndrica Equivalente;Cylindrical Equal-Area;m;0;3;0;T;T
Lambert_Conformal_Conic;Cònica Conforme de Lambert;Cónica Conforme de Lambert;Lambert Conformal Conic;m;3;0;0;T;T
lat/long;Equirectangular;Equirrectangular o Longitud-latitud;Equirectangular or Longitude-latitude;deg;0;0;0;T;T
Goode_Homolosine;Homolosina de Goode;Homolosina de Goode;Goode Homolosine;m;3;0;0;T;F
Mercator;Mercator;Mercator;Mercator;m;3;0;0;T;T
Sinusoidal;Sinusoïdal;Sinusoidal;Sinusoidal;m;0;3;2;T;F
UTM;Universal Transversal de Mercator o UTM;Universal Transversal de Mercator o UTM;Universal Transverse Mercator or UTM;m;2;2;2;F;T
Cylindrical_Equidistant;Cilíndrica Equidistant;Cilíndrica Equidistante;Equidistant Cylindrical;m;0;0;1;T;F
Transverse_Mercator;Transversal de Mercator;Transversal de Mercator;Transverse Mercator;m;2;2;2;F;T
Oblique_Mercator;Obliqua de Mercator;Oblicua de Mercator;Oblique Mercator;m;3;0;0;F;T
Geostationary;Geoestacionària;Geoestacionaria;Geostationary;deg;0;0;0;F;T
Conic_Equidistant;Cònica Equidistant;Cónica Equidistante;Equidistant Conic;m;1;1;2;T;T
