ID_GEODES;DESCGEODES;NOMESORTID;ID_PRJ;ID_VALPRJ;UNITATS;ID_DATUM;ID_ELL_ALT
UTM-6N-WGS84;UTM fus 6 hemisferi Nord amb Datum WGS84;F;UTM;6N;m;WGS 1984;
UTM-10N-WGS84;UTM fus 10 hemisferi Nord amb Datum WGS84;F;UTM;10N;m;WGS 1984;
UTM-10N-NAD27-CW;UTM fus 10 hemisferi Nord amb Datum North American 1927 (paràmetres MADTRAN conus West);F;UTM;10N;m;North American 1927 CW;
UTM-11N-NAD27-CW;UTM fus 11 hemisferi Nord amb Datum North American 1927 (paràmetres MADTRAN conus West);F;UTM;11N;m;North American 1927 CW;
UTM-12N-NAD83;UTM fus 12 hemisferi Nord amb Datum North American 1983 (paràmetres MADTRAN conus);F;UTM;12N;m;North American 1983 CO;
UTM-13N-ITRF92;UTM fus 13 hemisferi Nord amb Datum ITRF92;F;UTM;13N;m;ITRF92;
UTM-14N-ITRF92;UTM fus 14 hemisferi Nord amb Datum ITRF92;F;UTM;14N;m;ITRF92;
UTM-15N-ITRF92;UTM fus 15 hemisferi Nord amb Datum ITRF92;F;UTM;15N;m;ITRF92;
UTM-13N-NAD27-MX;UTM fus 13 hemisferi Nord amb Datum North American 1927 (paràmetres MADTRAN México);F;UTM;13N;m;North American 1927 MX;
UTM-14N-NAD27-MX;UTM fus 14 hemisferi Nord amb Datum North American 1927 (paràmetres MADTRAN México);F;UTM;14N;m;North American 1927 MX;
UTM-15N-NAD27-MX;UTM fus 15 hemisferi Nord amb Datum North American 1927 (paràmetres MADTRAN México);F;UTM;15N;m;North American 1927 MX;
UTM-15N-NAD83;UTM fus 15 hemisferi Nord amb Datum North American 1983 (paràmetres MADTRAN conus);F;UTM;15N;m;North American 1983 CO;
UTM-16N-NAD27-BC;UTM fus 16 hemisferi Nord amb Datum North American 1927 (paràmetres MADTRAN Nicaragua);F;UTM;16N;m;North American 1927 BC;
UTM-16N-WGS84;UTM fus 16 hemisferi Nord amb Datum WGS84;F;UTM;16N;m;WGS 1984;
UTM-17S-SAD69-PE;UTM fus 17 hemisferi Sud amb Datum South American 1969 (paràmetres MADTRAN Perú);F;UTM;17S;m;South American 1969 PE;
UTM-17S-WGS84;UTM fus 17 hemisferi Sud amb Datum WGS84;F;UTM;17S;m;WGS 1984;
UTM-17S-PSA56-P;UTM fus 17 hemisferi Sud amb Datum Provisional South American 1956 (paràmetres MADTRAN Perú);F;UTM;17S;m;Provisional South American 1956 P;
UTM-18N-WGS84;UTM fus 18 hemisferi Nord amb Datum WGS84;F;UTM;18N;m;WGS 1984;
UTM-18S-WGS84;UTM fus 18 hemisferi Sud amb Datum WGS84;F;UTM;18S;m;WGS 1984;
UTM-18S-SAD69-CH;UTM fus 18 hemisferi Sud amb Datum South American 1969 (paràmetres MADTRAN Chile);F;UTM;18S;m;South American 1969 CH;
UTM-19N-SAD69-BR;UTM fus 19 hemisferi Nord amb Datum Provisional South American 1956 CO;F;UTM;19N;m;Provisional South American 1956 CO;
UTM-19S-SAD69-CH;UTM fus 19 hemisferi Sud amb Datum South American 1969 (paràmetres MADTRAN Chile);F;UTM;19S;m;South American 1969 CH;
UTM-19S-PSAD56-CN;"UTM fus 19 hemisferi Sud amb Datum Provisional South American 1956 CN (Chile Northern; Near 19S)";F;UTM;19S;m;Provisional South American 1956 CN;
UTM-19S-PSAD56-BC;"UTM fus 19 hemisferi Sud amb Datum Provisional South American 1956 BC (Bolivia; Chile, Colombia, )";F;UTM;19S;m;Provisional South American 1956 BC;
UTM-19S-PSAD56-V;UTM fus 19 hemisferi Sud amb Datum Provisional South American 1956 BC (Venezuela);F;UTM;19S;m;Provisional South American 1956 V;
UTM-19N-WGS84;UTM fus 19 hemisferi Nord amb Datum WGS84;F;UTM;19N;m;WGS 1984;
UTM-19S-WGS84;UTM fus 19 hemisferi Sud amb Datum WGS84;F;UTM;19S;m;WGS 1984;
UTM-20S-WGS84;UTM fus 20 hemisferi Sud amb Datum WGS84;F;UTM;20S;m;WGS 1984;
