PSIDGEODES;ID_GEODES
UTM-31N;UTM-31N-UB/ICC
UTM-31N-ED50;UTM-31N-UB/ICC
EPSG:23031;UTM-31N-UB/ICC
urn:ogc:def:crs:EPSG::23031;UTM-31N-UB/ICC
EPSG:32631;UTM-31N-WGS84
EPSG:25829;UTM-29N-ETRS89
EPSG:3041;UTM-29N-ETRS89
urn:ogc:def:crs:EPSG::25829;UTM-29N-ETRS89
EPSG:25830;UTM-30N-ETRS89
EPSG:3042;UTM-30N-ETRS89
urn:ogc:def:crs:EPSG::25830;UTM-30N-ETRS89
EPSG:25831;UTM-31N-ETRS89
EPSG:3043;UTM-31N-ETRS89
urn:ogc:def:crs:EPSG::25831;UTM-31N-ETRS89
UTM-30N;UTM-30N-S/IGN
EPSG:32630;UTM-30N-WGS84
EPSG:23030;UTM-30N-S/IGN
urn:ogc:def:crs:EPSG::23030;UTM-30N-S/IGN
EPSG:23029;UTM-29N-S/IGN
urn:ogc:def:crs:EPSG::23029;UTM-29N-S/IGN
EPSG:32619;UTM-19N-WGS84
EPSG:32620;UTM-20N-WGS84
EPSG:32610;UTM-10N-WGS84
EPSG:32621;UTM-21N-WGS84
EPSG:32629;UTM-29N-WGS84
EPSG:32628;UTM-28N-WGS84
EPSG:32659;UTM-59N-WGS84
EPSG:32759;UTM-59S-WGS84
EPSG:4083;UTM-28N-REGCAN95
EPSG:32627;UTM-27N-WGS84
ETRS-TM26;UTM-26N-ETRS89
ETRS-TM27;UTM-27N-ETRS89
EPSG:3039;UTM-27N-ETRS89
ETRS-TM28;UTM-28N-ETRS89
EPSG:3040;UTM-28N-ETRS89
ETRS-TM29;UTM-29N-ETRS89
ETRS-TM30;UTM-30N-ETRS89
ETRS-TM31;UTM-31N-ETRS89
ETRS-TM32;UTM-32N-ETRS89
EPSG:25832;UTM-32N-ETRS89
EPSG:32632;UTM-32N-WGS84
ETRS-TM33;UTM-33N-ETRS89
EPSG:25833;UTM-33N-ETRS89
EPSG:32633;UTM-33N-WGS84
ETRS-TM34;UTM-34N-ETRS89
EPSG:25834;UTM-34N-ETRS89
ETRS-TM35;UTM-35N-ETRS89
EPSG:25835;UTM-35N-ETRS89
ETRS-TM36;UTM-36N-ETRS89
EPSG:32636;UTM-36N-WGS84
EPSG:32637;UTM-37N-WGS84
EPSG:32736;UTM-36S-WGS84
ETRS-TM37;UTM-37N-ETRS89
ETRS-TM38;UTM-38N-ETRS89
ETRS-TM39;UTM-39N-ETRS89
EPSG:26912;UTM-12N-NAD83
EPSG:32622;UTM-22N-WGS84
EPSG:32722;UTM-22S-WGS84
lat/long;lat/long-WGS84
EPSG:4326;lat/long-WGS84
urn:ogc:def:crs:EPSG::4326;lat/long-WGS84
EPSG:4230;lat/long-ED50-S/IGN
EPSG:4258;lat/long-ETRS89
CRS:84;lat/long-WGS84
urn:ogc:def:crs:OGC:1.3:CRS84;lat/long-WGS84
Equirectangular;lat/long-WGS84
lat/long-ED50;lat/long-ED50-UB/ICC
Azimuthal_Equidistant;Azimuthal_Equidistant-0-90-WGS84
EPSG:3035;Lambert_Azimuthal_Equal_Area-1052-ETRS89
Lambert_Azimuthal_Equal_Area;LambertAzimEqualA-0-90-WGS84-Esfera
Lambert_Azimuthal_Equal_Area-0-90-WGS84;LambertAzimEqualA-0-90-WGS84-Esfera
ETRS-LAEA;Lambert_Azimuthal_Equal_Area-1052-ETRS89
Cylindrical_Equal_Area;Cylindrical_Equal_Area-15-0-WGS84
Lambert_Conformal_Conic;Lambert_Conformal_Conic-ZoneIII-NTF
AUTO2:LCC,1,14.5,38,35,41;Lambert_Conformal_Conic_ICC_Mediterrani
EPSG:27561;Lambert_Conformal_Conic-ZoneI-NTF
EPSG:27562;Lambert_Conformal_Conic-ZoneII-NTF
EPSG:27563;Lambert_Conformal_Conic-ZoneIII-NTF
EPSG:27572;Lambert_Conformal_Conic-ZoneII_ext-NTF
EPSG:27573;Lambert_Conformal_Conic-ZoneIII_ext-NTF
ETRS-LCC;Lambert_Conformal_Conic-Europa-ETRS89
EPSG:2154;Lambert_Conformal_Conic-França-ETRS89
Goode_Homolosine;Goode_Homolosine-WGS84
Mercator;Mercator-Equator-ED50-UB/ICC
Mercator-ED50;Mercator-Equator-ED50-UB/ICC
Mercator-ED50-UB/ICC;Mercator-Equator-ED50-UB/ICC
Mercator-Ecuador-ED50-UB/ICC;Mercator-Equator-ED50-UB/ICC
AUTO2:MERCATOR,1,0,0.0;Mercator-Equator-ED50-UB/ICC
EPSG:3395;Mercator-Equator-WGS84
EPSG:3785;Mercator-Popular-Visualisation-Sphere
EPSG:3857;Mercator-Popular-Visualisation-Sphere
EPSG:900913;Mercator-Popular-Visualisation-Sphere
EPSG:102100;Mercator-Popular-Visualisation-Sphere
AUTO2:MERCATOR,1,0,40.60;Mercator-IHM-485-60k-ED50-UB/ICC
AUTO2:MERCATOR,1,0,41.42;Mercator-IHM-489-50k-ED50-UB/ICC
AUTO2:MERCATOR_WGS84,1,0,41.42;Mercator-IHM-489-50k-WGS84
Sinusoidal;Sinusoidal-WGS84
Cylindrical_Equidistant;Cylindrical_Equidistant-WGS84
PT-TM06/ETRS89;Gauss-Kruger_Portugal-ETRS89
EPSG:3909;TransverseMercator-BalkansMGI1901
EPSG:3003;TransverseMercator-Monte_Mario-Italy_Z1
EPSG:102025;Albers_Equal_Area-Asia_North-WGS84
EPSG:102022;Albers_Equal_Area-Africa-WGS84
EPSG:7390;Albers_Equal_Area-S_America-WGS84
