ID_DATUM;ID_GRUP;LLOCS;LLOCSSPA;LLOCSENG;DELTA_X;DELTA_Y;DELTA_Z;OMEGA;FI;KAPPA;ESCALAT;S_DELTA_X;S_DELTA_Y;S_DELTA_Z;R_DELTA_X;R_DELTA_Y;R_DELTA_Z;R_OMEGA;R_FI;R_KAPPA;R_ESCALAT;RS_DELTA_X;RS_DELTA_Y;RS_DELTA_Z;N_SAT;SRC
Adindan BF;Adindan;Burkina Faso;Burkina Faso;Burkina Faso;-118.0000000000;-14.0000000000;218.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;118.0000000000;14.0000000000;-218.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;1;NIMA&MADTRAN
Adindan CA;Adindan;Camerun;Camerún;Cameroon;-134.0000000000;-2.0000000000;210.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;134.0000000000;2.0000000000;-210.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;1;NIMA&MADTRAN
Adindan ET;Adindan;Etiòpia;Etiopía;Ethiopia;-165.0000000000;-11.0000000000;206.0000000000;;;;;3.0000000000;3.0000000000;3.0000000000;165.0000000000;11.0000000000;-206.0000000000;;;;;3.0000000000;3.0000000000;3.0000000000;8;NIMA&MADTRAN
Adindan MA;Adindan;Mali;Malí;Mali;-123.0000000000;-20.0000000000;220.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;123.0000000000;20.0000000000;-220.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;1;NIMA&MADTRAN
Adindan ES;Adindan;"mitjana per a Etiòpia; Sudan";"media para Etiopía; Sudán";"mean for Ethiopia; Sudan";-166.0000000000;-15.0000000000;204.0000000000;;;;;5.0000000000;5.0000000000;3.0000000000;166.0000000000;15.0000000000;-204.0000000000;;;;;5.0000000000;5.0000000000;3.0000000000;22;NIMA&MADTRAN
Adindan SE;Adindan;Senegal;Senegal;Senegal;-128.0000000000;-18.0000000000;224.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;128.0000000000;18.0000000000;-224.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;2;NIMA&MADTRAN
Adindan SU;Adindan;Sudan;Sudán;Sudan;-161.0000000000;-14.0000000000;205.0000000000;;;;;3.0000000000;5.0000000000;3.0000000000;161.0000000000;14.0000000000;-205.0000000000;;;;;3.0000000000;5.0000000000;3.0000000000;14;NIMA&MADTRAN
Afgooye SO;Afgooye;Somàlia;Somalia;Somalia;-43.0000000000;-163.0000000000;45.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;43.0000000000;163.0000000000;-45.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;1;NIMA&MADTRAN
Ain el Abd 1970 B;Ain el Abd 1970;Bahrain;Baréin (Bahrein);Bahrain;-150.0000000000;-250.0000000000;-1.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;150.0000000000;250.0000000000;1.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;2;NIMA&MADTRAN
Ain el Abd 1970 SA;Ain el Abd 1970;Aràbia Saudita;Arabia Saudita;Saudi Arabia;-143.0000000000;-236.0000000000;7.0000000000;;;;;10.0000000000;10.0000000000;10.0000000000;143.0000000000;236.0000000000;-7.0000000000;;;;;10.0000000000;10.0000000000;10.0000000000;9;NIMA&MADTRAN
American Samoa 1962;American Samoa 1962;Samoa;Samoa;Samoa;-115.0000000000;118.0000000000;426.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;115.0000000000;-118.0000000000;-426.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;2;NIMA&MADTRAN
Andorra AND01;NTF;Andorra;Andorra;Andorra;-136.9888100000;-136.9888100000;341.1189100000;-4.164549;0.0;-3.925451;-5.969441;;;;136.9888100000;60.6312600000;-341.1189100000;4.164549;0.0;3.925451;5.969441;;;;;
Anna 1 Astro 1965;Anna 1 Astro 1965;Illes Cocos;Islas Cocos;Cocos Islands;-491.0000000000;-22.0000000000;435.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;491.0000000000;22.0000000000;-435.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;1;NIMA&MADTRAN
Antigua Island Astro 1943;Antigua Island Astro 1943;Illa Antigua;Isla Antigua;Antigua Island;-270.0000000000;13.0000000000;62.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;270.0000000000;-13.0000000000;-62.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;1;NIMA&MADTRAN
Arc 1950 BO;Arc 1950;Botswana;Botsuana;Botswana;-138.0000000000;-105.0000000000;-289.0000000000;;;;;3.0000000000;5.0000000000;3.0000000000;138.0000000000;105.0000000000;289.0000000000;;;;;3.0000000000;5.0000000000;3.0000000000;9;NIMA&MADTRAN
Arc 1950 BU;Arc 1950;Burundi;Burundi;Burundi;-153.0000000000;-5.0000000000;-292.0000000000;;;;;20.0000000000;20.0000000000;20.0000000000;153.0000000000;5.0000000000;292.0000000000;;;;;20.0000000000;20.0000000000;20.0000000000;3;NIMA&MADTRAN
Arc 1950 LE;Arc 1950;Lesotho;Lesoto;Lesotho;-125.0000000000;-108.0000000000;-295.0000000000;;;;;3.0000000000;3.0000000000;8.0000000000;125.0000000000;108.0000000000;295.0000000000;;;;;3.0000000000;3.0000000000;8.0000000000;5;NIMA&MADTRAN
Arc 1950 MA;Arc 1950;Malawi;Malawi;Malawi;-161.0000000000;-73.0000000000;-317.0000000000;;;;;9.0000000000;24.0000000000;8.0000000000;161.0000000000;73.0000000000;317.0000000000;;;;;9.0000000000;24.0000000000;8.0000000000;6;NIMA&MADTRAN
Arc 1950 BLMSZ;Arc 1950;"mitjana per a Botswana; Lesotho; Malawi; Swazilàndia; Zaire; Zàmbia; Zimbabwe";"media para Botsuana; Lesotho; Malawi; Swazilandia; Zaire; Zambia; Zimbabwe";"mean for Botswana; Lesotho; Malawi; Swaziland; Zaire; Zambia; Zimbabwe";-143.0000000000;-90.0000000000;-294.0000000000;;;;;20.0000000000;33.0000000000;20.0000000000;143.0000000000;90.0000000000;294.0000000000;;;;;20.0000000000;33.0000000000;20.0000000000;41;NIMA&MADTRAN
Arc 1950 SW;Arc 1950;Swazilàndia;Swazilandia;Swaziland;-134.0000000000;-105.0000000000;-295.0000000000;;;;;15.0000000000;15.0000000000;15.0000000000;134.0000000000;105.0000000000;295.0000000000;;;;;15.0000000000;15.0000000000;15.0000000000;4;NIMA&MADTRAN
Arc 1950 ZI;Arc 1950;Zaire;Zaire;Zaire;-169.0000000000;-19.0000000000;-278.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;169.0000000000;19.0000000000;278.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;2;NIMA&MADTRAN
Arc 1950 ZM;Arc 1950;Zàmbia;Zambia;Zambia;-147.0000000000;-74.0000000000;-283.0000000000;;;;;21.0000000000;21.0000000000;27.0000000000;147.0000000000;74.0000000000;283.0000000000;;;;;21.0000000000;21.0000000000;27.0000000000;5;NIMA&MADTRAN
Arc 1950 ZB;Arc 1950;Zimbabwe;Zimbabue (Zimbabwe);Zimbabwe;-142.0000000000;-96.0000000000;-293.0000000000;;;;;5.0000000000;8.0000000000;11.0000000000;142.0000000000;96.0000000000;293.0000000000;;;;;5.0000000000;8.0000000000;11.0000000000;10;NIMA&MADTRAN
Arc 1960 KT;Arc 1960;"mitjana per a Kenya; Tanzània";"media para Kenia; Tanzania";"mean for Kenya; Tanzania";-160.0000000000;-6.0000000000;-302.0000000000;;;;;20.0000000000;20.0000000000;20.0000000000;160.0000000000;6.0000000000;302.0000000000;;;;;20.0000000000;20.0000000000;20.0000000000;25;NIMA&MADTRAN
Arc 1960 KE;Arc 1960;Kenya;Kenia;Kenya;-157.0000000000;-2.0000000000;-299.0000000000;;;;;4.0000000000;3.0000000000;3.0000000000;157.0000000000;2.0000000000;299.0000000000;;;;;4.0000000000;3.0000000000;3.0000000000;24;NIMA&MADTRAN
Arc 1960 TA;Arc 1960;Tanzània;Tanzania;Tanzania;-175.0000000000;-23.0000000000;-303.0000000000;;;;;6.0000000000;9.0000000000;10.0000000000;175.0000000000;23.0000000000;303.0000000000;;;;;6.0000000000;9.0000000000;10.0000000000;12;NIMA&MADTRAN
Ascension Island 1958;Ascension Island 1958;Illa de l'Ascensió;Isla de la Ascensión;Ascension Island;-205.0000000000;107.0000000000;53.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;205.0000000000;-107.0000000000;-53.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;2;NIMA&MADTRAN
Astro Beacon E 1945;Astro Beacon E 1945;Iwo Jima;Iwo Jima;Iwo Jima;145.0000000000;75.0000000000;-272.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;-145.0000000000;-75.0000000000;272.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;1;NIMA&MADTRAN
Astro DOS 71/4;Astro DOS 71/4;Illa de Santa Helena;Isla de Santa Helena;St Helena Island;-320.0000000000;550.0000000000;-494.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;320.0000000000;-550.0000000000;494.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;1;NIMA&MADTRAN
Astro Tern Island (FRIG) 1961;Astro Tern Island (FRIG) 1961;Illa de Tern (Hawaii);Isla de Tern (Hawaii);Tern Island (Hawaii);114.0000000000;-116.0000000000;-333.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;-114.0000000000;116.0000000000;333.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;1;NIMA&MADTRAN
Astronomical Station 1952;Astronomical Station 1952;Illa Marcus o Illa Minami Tori (Japó);Isla Marcus o Isla Minami Tori (Japón);Marcus (Minami Tori) Island (Japan);124.0000000000;-234.0000000000;-25.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;-124.0000000000;234.0000000000;25.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;1;NIMA&MADTRAN
AGD66;AGD66;Austràlia;Australia;Australia;-133.0000000000;-48.0000000000;148.0000000000;;;;;3.0000000000;3.0000000000;3.0000000000;133.0000000000;48.0000000000;-148.0000000000;;;;;3.0000000000;3.0000000000;3.0000000000;105;NIMA&MADTRAN
AGD84;AGD84;Austràlia;Australia;Australia;-117.7630000000;-51.5100000000;139.0610000000;-0.29200000000;-0.44300000000;-0.27700000000;-0.19100000000;0.3800000000;0.3800000000;0.3700000000;117.7630000000;51.5100000000;-139.0610000000;;;;;0.7000000000;0.4000000000;1.8000000000;;GDA TECH MANU 2
Ayabelle Lighthouse;Ayabelle Lighthouse;Djibouti;Yibuti;Djibouti;-79.0000000000;-129.0000000000;145.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;79.0000000000;129.0000000000;-145.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;1;NIMA&MADTRAN
Bellevue (IGN);Bellevue (IGN);Illes Éfaté i Erromango (Illes Vanuatu);Islas Éfaté y Erromango (Islas Vanuatu);Efate & Erromango Islands (New Hebrides);-127.0000000000;-769.0000000000;472.0000000000;;;;;20.0000000000;20.0000000000;20.0000000000;127.0000000000;769.0000000000;-472.0000000000;;;;;20.0000000000;20.0000000000;20.0000000000;3;NIMA&MADTRAN
Bermuda 1957;Bermuda 1957;Bermudes;Bermudas;Bermuda;-73.0000000000;213.0000000000;296.0000000000;;;;;20.0000000000;20.0000000000;20.0000000000;73.0000000000;-213.0000000000;-296.0000000000;;;;;20.0000000000;20.0000000000;20.0000000000;3;NIMA&MADTRAN
Bissau;Bissau;Bissau;Bissau;Bissau;-173.0000000000;253.0000000000;27.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;173.0000000000;-253.0000000000;-27.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;2;NIMA&MADTRAN
Bogota Observatory;Bogota Observatory;Bogotà, Colòmbia;Bogotá, Colombia;Bogota, Colombia;307.0000000000;304.0000000000;-318.0000000000;;;;;6.0000000000;5.0000000000;6.0000000000;-307.0000000000;-304.0000000000;318.0000000000;;;;;6.0000000000;5.0000000000;6.0000000000;7;NIMA&MADTRAN
Bukit Rimpah;Bukit Rimpah;Indonèsia (llles de Bangka i de Belitung);Indonesia (lslas de Bangka y de Belitung);Indonesia (Bangka & Belitung Ids);-384.0000000000;664.0000000000;-48.0000000000;;;;;;;;384.0000000000;-664.0000000000;48.0000000000;;;;;;;;0;NIMA&MADTRAN
Camacupa Clarke 1880;Camacupa Clarke 1880;Angola;Angola;Angola;-42.0100000000;-332.2100000000;-229.75600000000;;;;;;;;42.0100000000;332.2100000000;229.7500000000;;;;;;;;0;Grids and Datums PE&RS 2001
Camp Area Astro;Camp Area Astro;Antàrtida (Base de McMurdo);Antártida (Base de McMurdo);Antarctica (McMurdo Camp Area);-104.0000000000;-129.0000000000;239.0000000000;;;;;;;;104.0000000000;129.0000000000;-239.0000000000;;;;;;;;0;NIMA&MADTRAN
Campo Inchauspe;Campo Inchauspe;Argentina;Argentina;Argentina;-148.0000000000;136.0000000000;90.0000000000;;;;;5.0000000000;5.0000000000;5.0000000000;148.0000000000;-136.0000000000;-90.0000000000;;;;;5.0000000000;5.0000000000;5.0000000000;20;NIMA&MADTRAN
Canton Astro 1966;Canton Astro 1966;Illa Canton, Illes Fènix (Kiribati);Isla Canton, Islas Fénix (Kiribati);Canton Island, Phoenix Islands (Kiribati);298.0000000000;-304.0000000000;-375.0000000000;;;;;15.0000000000;15.0000000000;15.0000000000;-298.0000000000;304.0000000000;375.0000000000;;;;;15.0000000000;15.0000000000;15.0000000000;4;NIMA&MADTRAN
Cape;Cape;Sud-àfrica;Sudáfrica;South Africa;-136.0000000000;-108.0000000000;-292.0000000000;;;;;3.0000000000;6.0000000000;6.0000000000;136.0000000000;108.0000000000;292.0000000000;;;;;3.0000000000;6.0000000000;6.0000000000;5;NIMA&MADTRAN
Cape Canaveral;Cape Canaveral;"Bahames; Florida";"Bahamas; Florida";"Bahamas; Florida";-2.0000000000;151.0000000000;181.0000000000;;;;;3.0000000000;3.0000000000;3.0000000000;2.0000000000;-151.0000000000;-181.0000000000;;;;;3.0000000000;3.0000000000;3.0000000000;19;NIMA&MADTRAN
Carthage;Carthage;Tunísia;Túnez;Tunisia;-263.0000000000;6.0000000000;431.0000000000;;;;;6.0000000000;9.0000000000;8.0000000000;263.0000000000;-6.0000000000;-431.0000000000;;;;;6.0000000000;9.0000000000;8.0000000000;5;NIMA&MADTRAN
CH1903;CH1903;Confederació Suïssa, Liechtenstein;Confederación Suiza, Liechtenstein;Swiss Confederation, Liechtenstein;660.0770000000;13.5510000000;369.3440000000;2.4840000000;1.7830000000;2.9390000000;5.660000000;4.0550000000;4.8160000000;3.9140000000;-660.0770000000;-13.5510000000;-369.3440000000;-2.4840000000;-1.7830000000;-2.9390000000;5.660000000;4.0550000000;4.8160000000;3.9140000000;;Grids and Datums PE&RS
Chatham Island Astro 1971;Chatham Island Astro 1971;Nova Zelanda;Nueva Zelanda;New Zealand;175.0000000000;-38.0000000000;113.0000000000;;;;;15.0000000000;15.0000000000;15.0000000000;-175.0000000000;38.0000000000;-113.0000000000;;;;;15.0000000000;15.0000000000;15.0000000000;4;NIMA&MADTRAN
Chua Astro;Chua Astro;Paraguai;Paraguay;Paraguay;-134.0000000000;229.0000000000;-29.0000000000;;;;;6.0000000000;9.0000000000;5.0000000000;134.0000000000;-229.0000000000;29.0000000000;;;;;6.0000000000;9.0000000000;5.0000000000;6;NIMA&MADTRAN
Corrego Alegre;Corrego Alegre;Brasil;Brasil;Brazil;-206.0000000000;172.0000000000;-6.0000000000;;;;;5.0000000000;3.0000000000;5.0000000000;206.0000000000;-172.0000000000;6.0000000000;;;;;5.0000000000;3.0000000000;5.0000000000;17;NIMA&MADTRAN
Dabola;Dabola;Guinea;Guinea;Guinea;-83.0000000000;37.0000000000;124.0000000000;;;;;15.0000000000;15.0000000000;15.0000000000;83.0000000000;-37.0000000000;-124.0000000000;;;;;15.0000000000;15.0000000000;15.0000000000;4;NIMA&MADTRAN
Deception Island;Deception Island;Illa Decepció (Antàrtida);Isla Decepción (Antártida);Deception Island (Antarctica);260.0000000000;12.0000000000;-147.0000000000;;;;;20.0000000000;20.0000000000;20.0000000000;-260.0000000000;-12.0000000000;147.0000000000;;;;;20.0000000000;20.0000000000;20.0000000000;3;NIMA&MADTRAN
Djakarta (Batavia);Djakarta (Batavia);Jakarta (Batavia), Sumatra, Indonèsia;Yakarta (Batavia), Sumatra, Indonesia;Jakarta (Batavia), Sumatra, Indonesia;-377.0000000000;681.0000000000;-50.0000000000;;;;;3.0000000000;3.0000000000;3.0000000000;377.0000000000;-681.0000000000;50.0000000000;;;;;3.0000000000;3.0000000000;3.0000000000;5;NIMA&MADTRAN
DOS 1968;DOS 1968;Illes Nova Geòrgia (illa Gizo);Islas Nueva Georgia (isla Gizo);New Georgia Islands (Gizo Island);230.0000000000;-199.0000000000;-752.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;-230.0000000000;199.0000000000;752.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;1;NIMA&MADTRAN
Easter Island 1967;Easter Island 1967;Illa de Pasqua;Isla de Pascua;Easter Island;211.0000000000;147.0000000000;111.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;-211.0000000000;-147.0000000000;-111.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;1;NIMA&MADTRAN
"Estonia; Coordinate System 1937";"Estonia; Coordinate System 1937";Estònia;Estonia;Estonia;374.0000000000;150.0000000000;588.0000000000;;;;;2.0000000000;3.0000000000;3.0000000000;-374.0000000000;-150.0000000000;-588.0000000000;;;;;2.0000000000;3.0000000000;3.0000000000;19;NIMA&MADTRAN
ETRS89;ETRS89;Europa/EUREF;Europa/EUREF;Europe/EUREF;0.0000000000;0.0000000000;0.0000000000;;;;;;;;0.0000000000;0.0000000000;0.0000000000;;;;;;;;;
European 1950 CY;ED50;Xipre;Chipre;Cyprus;-104.0000000000;-101.0000000000;-140.0000000000;;;;;15.0000000000;15.0000000000;15.0000000000;104.0000000000;101.0000000000;140.0000000000;;;;;15.0000000000;15.0000000000;15.0000000000;4;NIMA&MADTRAN
European 1950 EG;ED50;Egipte;Egipto;Egypt;-130.0000000000;-117.0000000000;-151.0000000000;;;;;6.0000000000;8.0000000000;8.0000000000;130.0000000000;117.0000000000;151.0000000000;;;;;6.0000000000;8.0000000000;8.0000000000;14;NIMA&MADTRAN
European 1950 ECSS;ED50;"Anglaterra; Illes Anglonormandes; Escòcia; Illes Shetland";"Inglaterra; Islas Anglonormandas; Escocia; Islas Shetland";"England; Channel Islands; Scotland; Shetland Islands";-86.0000000000;-96.0000000000;-120.0000000000;;;;;3.0000000000;3.0000000000;3.0000000000;86.0000000000;96.0000000000;120.0000000000;;;;;3.0000000000;3.0000000000;3.0000000000;40;NIMA&MADTRAN
European 1950 EISS;ED50;"Anglaterra; Irlanda; Escòcia; Illes Shetland";"Inglaterra; Irlanda; Escocia; Islas Shetland";"England; Ireland; Scotland; Shetland Islands";-86.0000000000;-96.0000000000;-120.0000000000;;;;;3.0000000000;3.0000000000;3.0000000000;86.0000000000;96.0000000000;120.0000000000;;;;;3.0000000000;3.0000000000;3.0000000000;47;NIMA&MADTRAN
European 1950 FN;ED50;"Finlàndia; Noruega";"Finlandia; Noruega";"Finland; Norway";-87.0000000000;-95.0000000000;-120.0000000000;;;;;3.0000000000;5.0000000000;3.0000000000;87.0000000000;95.0000000000;120.0000000000;;;;;3.0000000000;5.0000000000;3.0000000000;20;NIMA&MADTRAN
European 1950 GR;ED50;Grècia;Grecia;Greece;-84.0000000000;-95.0000000000;-130.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;84.0000000000;95.0000000000;130.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;2;NIMA&MADTRAN
European 1950 IR;ED50;Iran;Irán;Iran;-117.0000000000;-132.0000000000;-164.0000000000;;;;;9.0000000000;12.0000000000;11.0000000000;117.0000000000;132.0000000000;164.0000000000;;;;;9.0000000000;12.0000000000;11.0000000000;27;NIMA&MADTRAN
European 1950 IS;ED50;Itàlia (Sardenya);Italia (Cerdeña);Italy (Sardinia);-97.0000000000;-103.0000000000;-120.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;97.0000000000;103.0000000000;120.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;2;NIMA&MADTRAN
European 1950 II;ED50;Itàlia (Sicília);Italia (Sicilia);Italy (Sicily);-97.0000000000;-88.0000000000;-135.0000000000;;;;;20.0000000000;20.0000000000;20.0000000000;97.0000000000;88.0000000000;135.0000000000;;;;;20.0000000000;20.0000000000;20.0000000000;3;NIMA&MADTRAN
European 1950 MA;ED50;Malta;Malta;Malta;-107.0000000000;-88.0000000000;-149.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;107.0000000000;88.0000000000;149.0000000000;;;;;25.0000000000;25.0000000000;25.0000000000;1;NIMA&MADTRAN
European 1950 ABDF;ED50;"mitjana per a Àustria; Bèlgica; Dinamarca; Finlàndia; França; Alemanya de l'Oest; Gibraltar; Grècia; Itàlia; Luxemburg; Països Baixos; Noruega; Portugal; Espanya; Suècia; Suïssa";"media para Austria; Bélgica; Dinamarca; Finlandia; Francia; Alemania del Oeste; Gibraltar; Grecia; Italia; Luxemburgo; Países Bajos; Noruega; Portugal; España; Suecia; Suiza";"mean for Austria; Belgium; Denmark; Finland; France; W Germany; Gibraltar; Greece; Italy; Luxembourg; Netherlands; Norway; Portugal; Spain; Sweden; Switzerland";-87.0000000000;-98.0000000000;-121.0000000000;;;;;3.0000000000;8.0000000000;5.0000000000;87.0000000000;98.0000000000;121.0000000000;;;;;3.0000000000;8.0000000000;5.0000000000;85;NIMA&MADTRAN
European 1950 ADFG;ED50;"mitjana per a Àustria; Dinamarca; França; Alemanya de l'Oest; Països Baixos; Suïssa";"media para Austria; Dinamarca; Francia; Alemania del Oeste; Países Bajos; Suiza";"mean for Austria; Denmark; France; W Germany; Netherlands; Switzerland";-87.0000000000;-96.0000000000;-120.0000000000;;;;;3.0000000000;3.0000000000;3.0000000000;87.0000000000;96.0000000000;120.0000000000;;;;;3.0000000000;3.0000000000;3.0000000000;52;NIMA&MADTRAN
European 1950 IIJL;ED50;"mitjanatiu per a l'Iraq; Israel; Jordània; Líban; Kuwait; Aràbia Saudita; Síria";"mediativo para Irak; Israel; Jordania; Líbano; Kuwait; Arabia Saudita; Siria";"mean for Iraq; Israel; Jordan; Lebanon; Kuwait; Saudi Arabia; Syria";-103.0000000000;-106.0000000000;-141.0000000000;;;;;;;;103.0000000000;106.0000000000;141.0000000000;;;;;;;;0;NIMA&MADTRAN
European 1950 F IGN;ED50;França;Francia;France;-84.0000000000;-97.0000000000;-117.0000000000;;;;;;;;84.0000000000;97.0000000000;117.0000000000;;;;;;;;;IGN France. http://www.ign.fr/fr/TVCHARG/SGN/FAQ/FAQ6.pdf
European 1950 PS;ED50;"Portugal; Espanya";"Portugal; España";"Portugal; Spain";-84.0000000000;-107.0000000000;-120.0000000000;;;;;5.0000000000;6.0000000000;3.0000000000;84.0000000000;107.0000000000;120.0000000000;;;;;5.0000000000;6.0000000000;3.0000000000;18;NIMA&MADTRAN
European 1950 IP;ED50;Península Ibèrica;Península Ibérica;Iberian Peninsula;-87.0000000000;-98.0000000000;-121.0000000000;;;;;;;;87.0000000000;98.0000000000;121.0000000000;;;;;;;;;https://epsg.io/23030-15933
European 1950 Balearic;ED50;Illes Balears;Islas Baleares;Balearic Islands;-181.5000000000;-90.3000000000;-187.2000000000;0.144;0.492;-0.394;17.57;;;;181.5000000000;90.3000000000;187.2000000000;-0.144;-0.492;0.394;17.57;;;;;https://epsg.io/23030-1631 https://epsg.io/23029
European 1950 NW IP;ED50;NW Península Ibèrica;NW Península Ibérica;NW Iberian Peninsula;-178.4000000000;-83.2000000000;-221.3000000000;0.54;-0.532;-0.126;21.2;;;;178.4000000000;83.2000000000;221.3000000000;-0.540;0.532;0.126;21.2;;;;;https://epsg.io/23030-1635
European 1950 S IGN;ED50;Espanya;España;Spain;-131.0300000000;-100.2500000000;-163.3500000000;-1.244;-0.019;-1.144;9.39;;;;131.0300000000;100.2500000000;163.3500000000;1.244;0.019;1.144;9.39;;;;;EUREF. http://crs.ifag.de/description_trans.php
European 1950 S IGN 3P;ED50;Espanya;España;Spain;-86.8300000000;-105.9200000000;-123.3200000000;;;;;1.0500000000;3.8600000000;1.1400000000;86.8300000000;105.9200000000;123.3200000000;;;;;1.0500000000;3.8600000000;1.1400000000;18;IGN Spain. Mapping N38, p42-49
